target,feature_set,variant,model_a,model_b,n_paired,median_a,median_b,median_diff,p,underpowered,p_holm,winner
lt1,EMG+NIRS,with_abs,v0103,v0104,18,5.0621,4.3175,0.618,0.001,False,0.0345,v0104
lt1,EMG+NIRS,with_abs,v0011,v0107,18,2.112,4.5403,-1.5591,0.0016,False,0.0505,n.s.
lt1,EMG+NIRS,with_abs,v0104,v0105,18,4.3175,4.8376,-0.3074,0.0019,False,0.0598,n.s.
lt1,EMG+NIRS,with_abs,v0101,v0102,18,4.5657,5.776,-1.0323,0.004,False,0.1202,n.s.
lt1,EMG+NIRS,with_abs,v0102,v0106a,18,5.776,4.709,0.9763,0.004,False,0.1202,n.s.
lt1,EMG+NIRS,with_abs,v0102,v0105,18,5.776,4.8376,0.5713,0.0047,False,0.1329,n.s.
lt1,EMG+NIRS,with_abs,v0101,v0104,18,4.5657,4.3175,0.1772,0.0056,False,0.1512,n.s.
lt1,EMG+NIRS,with_abs,v0102,v0106c,18,5.776,4.775,0.8763,0.0056,False,0.1512,n.s.
lt1,EMG+NIRS,with_abs,v0105,v0106b,18,4.8376,4.5404,0.586,0.0077,False,0.1923,n.s.
lt1,EMG+NIRS,with_abs,v0104,v0106c,18,4.3175,4.775,-0.4121,0.012,False,0.2888,n.s.
lt1,EMG+NIRS,with_abs,v0105,v0106c,18,4.8376,4.775,0.2166,0.0159,False,0.3664,n.s.
lt1,EMG+NIRS,with_abs,v0103,v0106b,18,5.0621,4.5404,0.7411,0.0182,False,0.4012,n.s.
lt1,EMG+NIRS,with_abs,v0106a,v0106b,18,4.709,4.5404,0.3459,0.0182,False,0.4012,n.s.
lt1,EMG+NIRS,with_abs,v0101,v0105,18,4.5657,4.8376,-0.3703,0.0304,False,0.6073,n.s.
lt1,EMG+NIRS,with_abs,v0102,v0103,18,5.776,5.0621,0.5159,0.0385,False,0.7313,n.s.
lt1,EMG+NIRS,with_abs,v0103,v0106a,18,5.0621,4.709,0.1606,0.0432,False,0.777,n.s.
lt1,EMG+NIRS,with_abs,v0101,v0106a,18,4.5657,4.709,-0.0785,0.4951,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0101,v0106b,18,4.5657,4.5404,0.2595,0.2462,False,1.0,n.s.
lt1,EMG+NIRS,with_abs,v0101,v0106c,18,4.5657,4.775,-0.1022,0.1674,False,1.0,n.s.
