version,family,variant,target,feature_set,inner_model,raw_mae_min,kalman_mae_min,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,n_windows,loso_n_subjects,loso_mae_mean,loso_mae_median,loso_mae_std,loso_mae_iqr,loso_r2_median,loso_neg_r2_share,gap_mae,kalman_gain,best_sigma_obs
v0105,tcn,noabs,lt1,NIRS,,5.546,5.5293,5.5293,5.532,5.5526,5.7263,-0.028,-0.218,4130,18,5.1189,4.8287,1.6002,2.6182,-0.113,0.944,-0.4271,0.0167,30.0
v0105,tcn,noabs,lt2,NIRS,,5.3919,5.4525,5.4525,5.5104,5.5989,5.9694,-0.024,0.235,3553,16,4.9465,4.6464,1.6018,2.4234,-0.143,0.938,-0.4454,-0.0606,30.0
v0105,tcn,noabs,lt1,EMG+NIRS,,5.6483,5.6436,5.6436,5.6543,5.6844,5.884,-0.056,-0.451,4130,18,5.2195,4.835,1.601,2.5439,-0.2,1.0,-0.4288,0.0047,30.0
v0105,tcn,noabs,lt2,EMG+NIRS,,5.3987,5.4295,5.4295,5.467,5.5309,5.8312,-0.009,0.142,3553,16,4.9619,4.8035,1.585,2.542,-0.137,0.875,-0.4368,-0.0308,30.0
v0105,tcn,noabs,lt1,EMG+NIRS+HRV,,5.6192,5.6187,5.6187,5.6319,5.6647,5.8718,-0.049,-0.402,4130,18,5.1895,4.8456,1.5987,2.5414,-0.168,1.0,-0.4297,0.0005,30.0
v0105,tcn,noabs,lt2,EMG+NIRS+HRV,,5.3885,5.4203,5.4203,5.4596,5.5262,5.8382,-0.008,0.098,3553,16,4.946,4.764,1.601,2.5436,-0.148,0.938,-0.4425,-0.0318,30.0
v0106a,wavelet,with_abs,lt1,EMG,,5.2686,5.1909,5.2225,5.2015,5.1909,5.2596,0.064,0.484,4130,18,4.8804,4.7686,1.6102,2.5051,-0.051,0.556,-0.3882,0.0777,75.0
v0106a,wavelet,with_abs,lt2,EMG,,5.5773,5.7813,5.7813,5.9417,6.1551,6.8808,-0.184,0.509,3634,17,5.0712,4.6203,1.8497,2.0921,-0.283,0.765,-0.5061,-0.204,30.0
v0106a,wavelet,with_abs,lt1,NIRS,,4.9925,4.9702,4.9717,4.9702,4.9835,5.1184,0.126,0.662,4130,18,4.5478,4.122,1.7339,2.6709,0.143,0.333,-0.4447,0.0223,50.0
v0106a,wavelet,with_abs,lt2,NIRS,,5.7195,5.9055,5.9055,6.0508,6.246,6.9245,-0.221,0.126,3634,17,5.2143,4.9506,1.8427,2.0417,-0.325,0.882,-0.5052,-0.186,30.0
v0106a,wavelet,with_abs,lt1,EMG+NIRS,,5.3794,5.2998,5.3332,5.312,5.2998,5.356,0.03,0.356,4130,18,4.9587,4.709,1.6654,2.461,-0.088,0.667,-0.4207,0.0796,75.0
v0106a,wavelet,with_abs,lt2,EMG+NIRS,,5.6146,5.8212,5.8212,5.9802,6.1902,6.899,-0.193,0.375,3634,17,5.0991,4.7032,1.8748,2.1744,-0.303,0.765,-0.5155,-0.2066,30.0
v0106a,wavelet,with_abs,lt1,EMG+NIRS+HRV,,5.1417,5.1125,5.1171,5.1125,5.1211,5.2397,0.096,0.524,4130,18,4.7135,4.3037,1.6743,2.3695,0.067,0.444,-0.4282,0.0292,50.0
v0106a,wavelet,with_abs,lt2,EMG+NIRS+HRV,,5.3905,5.6264,5.6264,5.8076,6.0448,6.8264,-0.13,0.703,3634,17,4.8959,4.4698,1.8119,1.9542,-0.25,0.647,-0.4946,-0.2359,30.0
v0106a,wavelet,noabs,lt1,EMG,,5.3287,5.2479,5.2807,5.2593,5.2479,5.3113,0.046,0.409,4130,18,4.9337,4.7926,1.6398,2.6732,-0.075,0.611,-0.395,0.0808,75.0
