version,variant,target,feature_set,status
v0106c,noabs,lt2,EMG+NIRS,ok (n=17)
v0106c,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0107,with_abs,lt1,EMG,ok (n=18)
v0107,with_abs,lt1,NIRS,ok (n=18)
v0107,with_abs,lt1,EMG+NIRS,ok (n=18)
v0107,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0107,with_abs,lt2,EMG,ok (n=17)
v0107,with_abs,lt2,NIRS,ok (n=17)
v0107,with_abs,lt2,EMG+NIRS,ok (n=17)
v0107,with_abs,lt2,EMG+NIRS+HRV,ok (n=17)
v0107,noabs,lt1,EMG,ok (n=18)
v0107,noabs,lt1,NIRS,ok (n=18)
v0107,noabs,lt1,EMG+NIRS,ok (n=18)
v0107,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0107,noabs,lt2,EMG,ok (n=17)
v0107,noabs,lt2,NIRS,ok (n=17)
v0107,noabs,lt2,EMG+NIRS,ok (n=17)
v0107,noabs,lt2,EMG+NIRS+HRV,ok (n=17)
v0011,with_abs,lt1,EMG,ok (n=18)
v0011,with_abs,lt1,NIRS,ok (n=18)
v0011,with_abs,lt1,EMG+NIRS,ok (n=18)
v0011,with_abs,lt1,EMG+NIRS+HRV,ok (n=18)
v0011,with_abs,lt1,HRV,ok (n=18)
v0011,with_abs,lt2,EMG,ok (n=18)
v0011,with_abs,lt2,NIRS,ok (n=18)
v0011,with_abs,lt2,EMG+NIRS,ok (n=18)
v0011,with_abs,lt2,EMG+NIRS+HRV,ok (n=18)
v0011,with_abs,lt2,HRV,ok (n=18)
v0011,noabs,lt1,EMG,ok (n=18)
v0011,noabs,lt1,NIRS,ok (n=18)
v0011,noabs,lt1,EMG+NIRS,ok (n=18)
v0011,noabs,lt1,EMG+NIRS+HRV,ok (n=18)
v0011,noabs,lt1,HRV,ok (n=18)
v0011,noabs,lt2,EMG,ok (n=18)
v0011,noabs,lt2,NIRS,ok (n=18)
v0011,noabs,lt2,EMG+NIRS,ok (n=18)
v0011,noabs,lt2,EMG+NIRS+HRV,ok (n=18)
v0011,noabs,lt2,HRV,ok (n=18)
