feature_set,target,alpha_sel,model,n_subjects,n_features_in,avg_selected,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS,lt1,0.05,"EN(α=1.0,l1=0.5)",14,97,94.9,2.6379,2.4847,0.76,0.89,6.3
EMG+NIRS,lt1,0.05,"GBM(n=100,d=2)",14,97,94.9,2.6606,2.4914,0.753,0.874,63.7
EMG+NIRS,lt1,0.05,Ridge(α=1000),14,97,94.9,2.666,2.4997,0.756,0.887,6.0
EMG+NIRS,lt1,0.05,"EN(α=1.0,l1=0.2)",14,97,94.9,2.6337,2.5022,0.759,0.891,6.3
EMG+NIRS,lt1,0.05,"GBM(n=200,d=2)",14,97,94.9,2.7123,2.543,0.746,0.87,111.9
EMG+NIRS,lt1,0.05,"EN(α=0.1,l1=0.2)",14,97,94.9,2.8259,2.6362,0.73,0.87,7.5
EMG+NIRS,lt1,0.05,"EN(α=0.1,l1=0.5)",14,97,94.9,2.9025,2.7035,0.716,0.863,7.4
EMG+NIRS,lt1,0.05,Ridge(α=100),14,97,94.9,2.9846,2.7759,0.7,0.856,6.0
EMG+NIRS,lt1,0.05,"EN(α=0.01,l1=0.2)",14,97,94.9,3.2803,3.0478,0.638,0.828,12.3
EMG+NIRS,lt1,0.05,"EN(α=0.01,l1=0.5)",14,97,94.9,3.3688,3.1333,0.619,0.82,12.4
EMG+NIRS,lt1,0.05,Ridge(α=10),14,97,94.9,3.4427,3.2055,0.603,0.814,6.1
EMG+NIRS,lt1,0.05,Ridge(α=1),14,97,94.9,3.6945,3.444,0.546,0.79,6.0
EMG+NIRS,lt1,0.1,"EN(α=1.0,l1=0.5)",14,97,92.6,2.6394,2.4839,0.758,0.889,3.7
EMG+NIRS,lt1,0.1,Ridge(α=1000),14,97,92.6,2.6672,2.4998,0.755,0.886,3.4
EMG+NIRS,lt1,0.1,"EN(α=1.0,l1=0.2)",14,97,92.6,2.6356,2.5005,0.757,0.89,3.8
EMG+NIRS,lt1,0.1,"GBM(n=100,d=2)",14,97,92.6,2.7076,2.5391,0.743,0.867,58.4
EMG+NIRS,lt1,0.1,"GBM(n=200,d=2)",14,97,92.6,2.7492,2.5862,0.738,0.865,104.5
EMG+NIRS,lt1,0.1,"EN(α=0.1,l1=0.2)",14,97,92.6,2.8341,2.646,0.728,0.869,4.7
EMG+NIRS,lt1,0.1,"EN(α=0.1,l1=0.5)",14,97,92.6,2.9121,2.7151,0.714,0.862,4.6
EMG+NIRS,lt1,0.1,Ridge(α=100),14,97,92.6,2.9949,2.7883,0.698,0.855,3.7
EMG+NIRS,lt1,0.1,"EN(α=0.01,l1=0.2)",14,97,92.6,3.2827,3.0504,0.637,0.828,7.9
EMG+NIRS,lt1,0.1,"EN(α=0.01,l1=0.5)",14,97,92.6,3.3665,3.1299,0.619,0.821,7.9
EMG+NIRS,lt1,0.1,Ridge(α=10),14,97,92.6,3.4361,3.1967,0.605,0.814,4.0
EMG+NIRS,lt1,0.1,Ridge(α=1),14,97,92.6,3.6652,3.413,0.553,0.793,4.1
EMG+NIRS,lt1,0.3,"EN(α=1.0,l1=0.5)",14,97,89.6,2.6353,2.4972,0.76,0.891,2.2
EMG+NIRS,lt1,0.3,"GBM(n=100,d=2)",14,97,89.6,2.6733,2.4985,0.751,0.872,54.2
EMG+NIRS,lt1,0.3,Ridge(α=1000),14,97,89.6,2.6634,2.5087,0.756,0.887,1.9
EMG+NIRS,lt1,0.3,"EN(α=1.0,l1=0.2)",14,97,89.6,2.6332,2.5183,0.759,0.892,2.2
EMG+NIRS,lt1,0.3,"GBM(n=200,d=2)",14,97,89.6,2.6984,2.5313,0.747,0.87,98.9
EMG+NIRS,lt1,0.3,"EN(α=0.1,l1=0.2)",14,97,89.6,2.8331,2.6484,0.729,0.87,3.1
EMG+NIRS,lt1,0.3,"EN(α=0.1,l1=0.5)",14,97,89.6,2.9108,2.7148,0.714,0.862,3.0
EMG+NIRS,lt1,0.3,Ridge(α=100),14,97,89.6,2.9905,2.7833,0.699,0.855,1.9
EMG+NIRS,lt1,0.3,"EN(α=0.01,l1=0.2)",14,97,89.6,3.2586,3.0231,0.642,0.83,5.9
EMG+NIRS,lt1,0.3,"EN(α=0.01,l1=0.5)",14,97,89.6,3.3336,3.0944,0.626,0.823,6.2
EMG+NIRS,lt1,0.3,Ridge(α=10),14,97,89.6,3.3939,3.1516,0.614,0.818,1.9
EMG+NIRS,lt1,0.3,Ridge(α=1),14,97,89.6,3.5874,3.3379,0.569,0.8,2.0
EMG+NIRS,lt1,1.0,"EN(α=1.0,l1=0.5)",14,97,76.8,2.6408,2.4934,0.759,0.889,1.2
EMG+NIRS,lt1,1.0,"EN(α=1.0,l1=0.2)",14,97,76.8,2.6343,2.5092,0.758,0.891,1.2
EMG+NIRS,lt1,1.0,Ridge(α=1000),14,97,76.8,2.6703,2.5098,0.755,0.886,1.1
EMG+NIRS,lt1,1.0,"GBM(n=100,d=2)",14,97,76.8,2.7107,2.5406,0.744,0.869,45.3
EMG+NIRS,lt1,1.0,"GBM(n=200,d=2)",14,97,76.8,2.7297,2.5494,0.742,0.867,84.5
EMG+NIRS,lt1,1.0,"EN(α=0.1,l1=0.2)",14,97,76.8,2.8359,2.647,0.728,0.87,1.6
EMG+NIRS,lt1,1.0,"EN(α=0.1,l1=0.5)",14,97,76.8,2.9076,2.7089,0.715,0.863,1.7
EMG+NIRS,lt1,1.0,Ridge(α=100),14,97,76.8,2.9797,2.772,0.701,0.856,1.1
EMG+NIRS,lt1,1.0,"EN(α=0.01,l1=0.2)",14,97,76.8,3.2122,2.978,0.65,0.835,3.3
EMG+NIRS,lt1,1.0,"EN(α=0.01,l1=0.5)",14,97,76.8,3.2728,3.0344,0.636,0.829,3.6
EMG+NIRS,lt1,1.0,Ridge(α=10),14,97,76.8,3.3214,3.0795,0.625,0.825,1.1
EMG+NIRS,lt1,1.0,Ridge(α=1),14,97,76.8,3.4792,3.2183,0.587,0.809,1.1
EMG+NIRS,lt2,0.01,"EN(α=1.0,l1=0.2)",19,97,96.6,3.0072,2.8538,0.645,0.826,19.0
EMG+NIRS,lt2,0.01,"EN(α=1.0,l1=0.5)",19,97,96.6,3.0512,2.8903,0.639,0.82,19.6
EMG+NIRS,lt2,0.01,Ridge(α=1000),19,97,96.6,3.1388,2.9665,0.626,0.809,18.5
EMG+NIRS,lt2,0.01,"EN(α=0.1,l1=0.2)",19,97,96.6,3.4128,3.2139,0.569,0.772,21.3
EMG+NIRS,lt2,0.01,"GBM(n=100,d=2)",19,97,96.6,3.3995,3.2271,0.55,0.769,119.2
EMG+NIRS,lt2,0.01,"GBM(n=200,d=2)",19,97,96.6,3.4642,3.2914,0.541,0.767,192.9
EMG+NIRS,lt2,0.01,"EN(α=0.1,l1=0.5)",19,97,96.6,3.5423,3.3343,0.535,0.753,21.7
EMG+NIRS,lt2,0.01,Ridge(α=100),19,97,96.6,3.7253,3.502,0.481,0.728,18.2
EMG+NIRS,lt2,0.01,"EN(α=0.01,l1=0.2)",19,97,96.6,4.0852,3.8491,0.354,0.684,30.0
EMG+NIRS,lt2,0.01,"EN(α=0.01,l1=0.5)",19,97,96.6,4.1912,3.9475,0.307,0.673,30.8
EMG+NIRS,lt2,0.01,Ridge(α=10),19,97,96.6,4.3006,4.045,0.248,0.663,18.6
EMG+NIRS,lt2,0.01,Ridge(α=1),19,97,96.6,4.5263,4.2225,0.104,0.647,18.6
EMG+NIRS,lt2,0.05,"EN(α=1.0,l1=0.2)",19,97,95.0,3.0083,2.8558,0.645,0.826,11.0
EMG+NIRS,lt2,0.05,"EN(α=1.0,l1=0.5)",19,97,95.0,3.0518,2.8919,0.639,0.82,10.8
EMG+NIRS,lt2,0.05,Ridge(α=1000),19,97,95.0,3.138,2.9668,0.626,0.809,10.3
EMG+NIRS,lt2,0.05,"EN(α=0.1,l1=0.2)",19,97,95.0,3.4106,3.2127,0.569,0.772,13.8
EMG+NIRS,lt2,0.05,"GBM(n=100,d=2)",19,97,95.0,3.4364,3.2628,0.531,0.762,104.9
EMG+NIRS,lt2,0.05,"GBM(n=200,d=2)",19,97,95.0,3.4734,3.3026,0.531,0.762,182.0
EMG+NIRS,lt2,0.05,"EN(α=0.1,l1=0.5)",19,97,95.0,3.5399,3.333,0.535,0.753,12.7
EMG+NIRS,lt2,0.05,Ridge(α=100),19,97,95.0,3.7232,3.5012,0.482,0.728,10.7
EMG+NIRS,lt2,0.05,"EN(α=0.01,l1=0.2)",19,97,95.0,4.0856,3.8504,0.354,0.684,20.6
EMG+NIRS,lt2,0.05,"EN(α=0.01,l1=0.5)",19,97,95.0,4.1923,3.9495,0.306,0.673,21.5
EMG+NIRS,lt2,0.05,Ridge(α=10),19,97,95.0,4.3027,4.0478,0.247,0.663,10.1
EMG+NIRS,lt2,0.05,Ridge(α=1),19,97,95.0,4.5293,4.224,0.103,0.647,10.1
EMG+NIRS,lt2,0.1,"EN(α=1.0,l1=0.2)",19,97,94.5,3.0112,2.8559,0.644,0.826,6.0
EMG+NIRS,lt2,0.1,"EN(α=1.0,l1=0.5)",19,97,94.5,3.0543,2.892,0.639,0.82,6.0
EMG+NIRS,lt2,0.1,Ridge(α=1000),19,97,94.5,3.1419,2.968,0.626,0.809,5.3
EMG+NIRS,lt2,0.1,"EN(α=0.1,l1=0.2)",19,97,94.5,3.4169,3.2173,0.569,0.772,7.4
EMG+NIRS,lt2,0.1,"GBM(n=100,d=2)",19,97,94.5,3.4433,3.2762,0.536,0.763,97.4
EMG+NIRS,lt2,0.1,"EN(α=0.1,l1=0.5)",19,97,94.5,3.5475,3.3401,0.534,0.753,7.7
EMG+NIRS,lt2,0.1,"GBM(n=200,d=2)",19,97,94.5,3.5114,3.3463,0.524,0.756,172.1
EMG+NIRS,lt2,0.1,Ridge(α=100),19,97,94.5,3.7293,3.5069,0.481,0.727,5.4
EMG+NIRS,lt2,0.1,"EN(α=0.01,l1=0.2)",19,97,94.5,4.0828,3.8474,0.354,0.684,12.5
EMG+NIRS,lt2,0.1,"EN(α=0.01,l1=0.5)",19,97,94.5,4.1852,3.9423,0.308,0.674,13.0
EMG+NIRS,lt2,0.1,Ridge(α=10),19,97,94.5,4.2904,4.0351,0.251,0.664,6.2
EMG+NIRS,lt2,0.1,Ridge(α=1),19,97,94.5,4.4967,4.1944,0.115,0.65,7.8
EMG+NIRS,lt2,0.3,"EN(α=1.0,l1=0.2)",19,97,89.2,3.0241,2.8703,0.642,0.824,3.5
EMG+NIRS,lt2,0.3,"EN(α=1.0,l1=0.5)",19,97,89.2,3.0657,2.9045,0.637,0.818,3.2
EMG+NIRS,lt2,0.3,Ridge(α=1000),19,97,89.2,3.1491,2.9787,0.624,0.808,2.9
EMG+NIRS,lt2,0.3,"EN(α=0.1,l1=0.2)",19,97,89.2,3.4173,3.2194,0.568,0.771,4.4
EMG+NIRS,lt2,0.3,"GBM(n=100,d=2)",19,97,89.2,3.4179,3.244,0.54,0.766,88.7
EMG+NIRS,lt2,0.3,"EN(α=0.1,l1=0.5)",19,97,89.2,3.5443,3.3374,0.535,0.753,4.6
EMG+NIRS,lt2,0.3,"GBM(n=200,d=2)",19,97,89.2,3.51,3.3434,0.526,0.757,160.2
EMG+NIRS,lt2,0.3,Ridge(α=100),19,97,89.2,3.721,3.4988,0.482,0.728,3.1
EMG+NIRS,lt2,0.3,"EN(α=0.01,l1=0.2)",19,97,89.2,4.0603,3.8257,0.359,0.687,8.4
EMG+NIRS,lt2,0.3,"EN(α=0.01,l1=0.5)",19,97,89.2,4.1589,3.9171,0.314,0.677,8.8
EMG+NIRS,lt2,0.3,Ridge(α=10),19,97,89.2,4.2597,4.0063,0.257,0.669,3.0
EMG+NIRS,lt2,0.3,Ridge(α=1),19,97,89.2,4.4675,4.168,0.119,0.653,3.0
EMG+NIRS,lt2,1.0,"EN(α=1.0,l1=0.2)",19,97,79.7,3.0012,2.8482,0.648,0.828,2.0
EMG+NIRS,lt2,1.0,"EN(α=1.0,l1=0.5)",19,97,79.7,3.0462,2.8836,0.643,0.822,2.0
EMG+NIRS,lt2,1.0,Ridge(α=1000),19,97,79.7,3.1347,2.9604,0.629,0.811,1.8
EMG+NIRS,lt2,1.0,"EN(α=0.1,l1=0.2)",19,97,79.7,3.4034,3.2059,0.571,0.773,2.8
