feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS+HRV,lt1,Huber(ε=1.35),14,107,3.4066,3.2424,0.564,0.801,34.1
EMG+NIRS+HRV,lt1,Huber(ε=1.5),14,107,3.3754,3.2112,0.572,0.805,36.3
EMG+NIRS+HRV,lt1,Huber(ε=2.0),14,107,3.3346,3.1712,0.586,0.811,32.9
EMG+NIRS+HRV,lt1,"EN(α=0.01,l1=0.2)",14,107,2.9144,2.752,0.691,0.858,11.6
EMG+NIRS+HRV,lt1,"EN(α=0.01,l1=0.5)",14,107,2.9798,2.8144,0.676,0.853,12.0
EMG+NIRS+HRV,lt1,"EN(α=0.01,l1=0.9)",14,107,3.1232,2.9642,0.645,0.842,16.0
EMG+NIRS+HRV,lt1,"EN(α=0.1,l1=0.2)",14,107,2.4989,2.391,0.78,0.894,3.1
EMG+NIRS+HRV,lt1,"EN(α=0.1,l1=0.5)",14,107,2.5804,2.4593,0.765,0.886,3.2
EMG+NIRS+HRV,lt1,"EN(α=0.1,l1=0.9)",14,107,2.8664,2.7092,0.701,0.862,5.3
EMG+NIRS+HRV,lt1,"EN(α=1.0,l1=0.2)",14,107,2.279,2.2313,0.816,0.915,2.0
EMG+NIRS+HRV,lt1,"EN(α=1.0,l1=0.5)",14,107,2.2919,2.24,0.814,0.912,2.4
EMG+NIRS+HRV,lt1,"EN(α=1.0,l1=0.9)",14,107,2.4358,2.3471,0.789,0.898,2.0
EMG+NIRS+HRV,lt1,"GBM(n=50,d=2)",14,107,2.4811,2.412,0.765,0.879,67.1
EMG+NIRS+HRV,lt1,"GBM(n=50,d=3)",14,107,2.5706,2.4916,0.753,0.873,92.3
EMG+NIRS+HRV,lt1,"GBM(n=100,d=2)",14,107,2.518,2.449,0.761,0.875,122.6
EMG+NIRS+HRV,lt1,"GBM(n=100,d=3)",14,107,2.591,2.5102,0.751,0.872,173.8
EMG+NIRS+HRV,lt1,"GBM(n=200,d=2)",14,107,2.5363,2.4585,0.754,0.873,229.9
EMG+NIRS+HRV,lt1,"GBM(n=200,d=3)",14,107,2.5975,2.5108,0.748,0.871,335.3
EMG+NIRS+HRV,lt1,"SVR(C=1,ε=0.1)",14,107,4.1977,4.2056,0.335,0.794,18.9
EMG+NIRS+HRV,lt1,"SVR(C=1,ε=1.0)",14,107,4.1973,4.205,0.335,0.794,19.0
EMG+NIRS+HRV,lt1,"SVR(C=10,ε=0.1)",14,107,2.9719,2.895,0.638,0.853,19.7
EMG+NIRS+HRV,lt1,"SVR(C=10,ε=1.0)",14,107,2.9722,2.8952,0.638,0.853,19.2
EMG+NIRS+HRV,lt1,"SVR(C=100,ε=0.1)",14,107,2.7362,2.6528,0.692,0.872,20.4
EMG+NIRS+HRV,lt1,"SVR(C=100,ε=1.0)",14,107,2.7373,2.6537,0.692,0.872,18.5
