feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,"EN(α=0.1,l1=0.5)",S019,8.696,-0.346
EMG,lt2,"EN(α=0.1,l1=0.9)",S001,2.3644,0.75
EMG,lt2,"EN(α=0.1,l1=0.9)",S002,6.9544,-3.493
EMG,lt2,"EN(α=0.1,l1=0.9)",S003,9.1329,-8.041
EMG,lt2,"EN(α=0.1,l1=0.9)",S004,11.0105,-26.11
EMG,lt2,"EN(α=0.1,l1=0.9)",S005,8.1049,-1.212
EMG,lt2,"EN(α=0.1,l1=0.9)",S006,4.0092,-0.716
EMG,lt2,"EN(α=0.1,l1=0.9)",S007,2.3457,-2.228
EMG,lt2,"EN(α=0.1,l1=0.9)",S008,1.1374,0.83
EMG,lt2,"EN(α=0.1,l1=0.9)",S009,10.3917,-1.058
EMG,lt2,"EN(α=0.1,l1=0.9)",S010,4.2846,0.489
EMG,lt2,"EN(α=0.1,l1=0.9)",S011,3.5707,0.191
EMG,lt2,"EN(α=0.1,l1=0.9)",S012,3.0845,-0.148
EMG,lt2,"EN(α=0.1,l1=0.9)",S013,11.5779,-3.776
EMG,lt2,"EN(α=0.1,l1=0.9)",S014,2.0456,0.764
EMG,lt2,"EN(α=0.1,l1=0.9)",S016,1.9404,0.702
EMG,lt2,"EN(α=0.1,l1=0.9)",S017,3.5986,0.24
EMG,lt2,"EN(α=0.1,l1=0.9)",S018,2.7982,-1.654
EMG,lt2,"EN(α=0.1,l1=0.9)",S019,8.5389,-0.33
EMG,lt2,"EN(α=1.0,l1=0.2)",S001,2.9836,0.613
EMG,lt2,"EN(α=1.0,l1=0.2)",S002,3.6945,-0.393
EMG,lt2,"EN(α=1.0,l1=0.2)",S003,4.7512,0.294
EMG,lt2,"EN(α=1.0,l1=0.2)",S004,4.9406,-3.177
EMG,lt2,"EN(α=1.0,l1=0.2)",S005,8.025,-1.36
EMG,lt2,"EN(α=1.0,l1=0.2)",S006,4.9706,-1.61
EMG,lt2,"EN(α=1.0,l1=0.2)",S007,2.7743,-0.77
EMG,lt2,"EN(α=1.0,l1=0.2)",S008,1.5722,0.73
EMG,lt2,"EN(α=1.0,l1=0.2)",S009,7.0849,0.08
EMG,lt2,"EN(α=1.0,l1=0.2)",S010,4.2451,0.493
EMG,lt2,"EN(α=1.0,l1=0.2)",S011,4.0386,-0.127
EMG,lt2,"EN(α=1.0,l1=0.2)",S012,2.8543,0.374
EMG,lt2,"EN(α=1.0,l1=0.2)",S013,8.2339,-1.086
EMG,lt2,"EN(α=1.0,l1=0.2)",S014,2.3727,0.684
EMG,lt2,"EN(α=1.0,l1=0.2)",S016,2.1121,0.43
EMG,lt2,"EN(α=1.0,l1=0.2)",S017,2.7804,0.553
EMG,lt2,"EN(α=1.0,l1=0.2)",S018,1.5991,0.034
EMG,lt2,"EN(α=1.0,l1=0.2)",S019,7.8257,-0.085
EMG,lt2,"EN(α=1.0,l1=0.5)",S001,2.6818,0.679
EMG,lt2,"EN(α=1.0,l1=0.5)",S002,4.0596,-0.656
EMG,lt2,"EN(α=1.0,l1=0.5)",S003,5.0923,0.031
EMG,lt2,"EN(α=1.0,l1=0.5)",S004,5.4615,-4.627
EMG,lt2,"EN(α=1.0,l1=0.5)",S005,8.1409,-1.398
EMG,lt2,"EN(α=1.0,l1=0.5)",S006,5.1,-1.716
EMG,lt2,"EN(α=1.0,l1=0.5)",S007,2.6607,-0.779
EMG,lt2,"EN(α=1.0,l1=0.5)",S008,1.4769,0.755
EMG,lt2,"EN(α=1.0,l1=0.5)",S009,7.0766,0.076
EMG,lt2,"EN(α=1.0,l1=0.5)",S010,3.9962,0.533
