script,variant,feature_set,target,subject_id,mae_min,trained
v0102,with_abs,NIRS,lt2,S006,5.9792,0
v0102,with_abs,NIRS,lt2,S008,6.2922,0
v0102,with_abs,NIRS,lt2,S009,4.2063,1
v0102,with_abs,NIRS,lt2,S010,3.7681,1
v0102,with_abs,NIRS,lt2,S011,4.4516,0
v0102,with_abs,NIRS,lt2,S012,3.6026,0
v0102,with_abs,NIRS,lt2,S013,5.3831,1
v0102,with_abs,NIRS,lt2,S014,3.6568,0
v0102,with_abs,NIRS,lt2,S016,8.8825,0
v0102,with_abs,NIRS,lt2,S017,7.1195,1
v0102,with_abs,NIRS,lt2,S019,6.7545,1
v0102,noabs,NIRS,lt2,S001,8.549,0
v0102,noabs,NIRS,lt2,S002,6.0564,0
v0102,noabs,NIRS,lt2,S003,5.4893,1
v0102,noabs,NIRS,lt2,S004,6.3359,0
v0102,noabs,NIRS,lt2,S005,7.3487,0
v0102,noabs,NIRS,lt2,S006,2.9757,0
v0102,noabs,NIRS,lt2,S008,5.3122,0
v0102,noabs,NIRS,lt2,S009,5.9587,1
v0102,noabs,NIRS,lt2,S010,3.607,1
v0102,noabs,NIRS,lt2,S011,4.3741,0
v0102,noabs,NIRS,lt2,S012,3.5031,0
v0102,noabs,NIRS,lt2,S013,4.5899,1
v0102,noabs,NIRS,lt2,S014,6.6617,0
v0102,noabs,NIRS,lt2,S016,8.348,0
v0102,noabs,NIRS,lt2,S017,10.8389,1
v0102,noabs,NIRS,lt2,S019,7.8933,1
v0102,with_abs,EMG+NIRS,lt2,S001,7.0905,0
v0102,with_abs,EMG+NIRS,lt2,S002,3.9926,0
v0102,with_abs,EMG+NIRS,lt2,S003,9.7231,1
v0102,with_abs,EMG+NIRS,lt2,S004,5.2598,0
v0102,with_abs,EMG+NIRS,lt2,S005,4.9111,0
v0102,with_abs,EMG+NIRS,lt2,S006,3.5978,0
v0102,with_abs,EMG+NIRS,lt2,S008,8.2737,0
v0102,with_abs,EMG+NIRS,lt2,S009,12.7949,1
v0102,with_abs,EMG+NIRS,lt2,S010,4.2248,1
v0102,with_abs,EMG+NIRS,lt2,S011,5.2248,0
v0102,with_abs,EMG+NIRS,lt2,S012,3.3103,0
v0102,with_abs,EMG+NIRS,lt2,S013,8.0406,1
v0102,with_abs,EMG+NIRS,lt2,S014,9.3548,0
v0102,with_abs,EMG+NIRS,lt2,S016,7.5141,0
v0102,with_abs,EMG+NIRS,lt2,S017,6.9737,1
v0102,with_abs,EMG+NIRS,lt2,S019,9.9028,1
v0102,noabs,EMG+NIRS,lt2,S001,6.4254,0
v0102,noabs,EMG+NIRS,lt2,S002,5.9251,0
v0102,noabs,EMG+NIRS,lt2,S003,7.2258,1
v0102,noabs,EMG+NIRS,lt2,S004,7.2689,0
v0102,noabs,EMG+NIRS,lt2,S005,5.355,0
v0102,noabs,EMG+NIRS,lt2,S006,3.8827,0
v0102,noabs,EMG+NIRS,lt2,S008,7.7385,0
v0102,noabs,EMG+NIRS,lt2,S009,12.3613,1
v0102,noabs,EMG+NIRS,lt2,S010,4.4112,1
v0102,noabs,EMG+NIRS,lt2,S011,6.1562,0
v0102,noabs,EMG+NIRS,lt2,S012,3.9188,0
v0102,noabs,EMG+NIRS,lt2,S013,8.2649,1
v0102,noabs,EMG+NIRS,lt2,S014,9.0852,0
v0102,noabs,EMG+NIRS,lt2,S016,7.6863,0
v0102,noabs,EMG+NIRS,lt2,S017,4.5668,1
v0102,noabs,EMG+NIRS,lt2,S019,11.7102,1
v0102,with_abs,EMG+NIRS+HRV,lt2,S001,5.4522,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S002,3.601,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S003,10.27,1
v0102,with_abs,EMG+NIRS+HRV,lt2,S004,13.1144,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S005,3.934,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S006,3.8575,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S008,7.5898,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S009,4.6707,1
v0102,with_abs,EMG+NIRS+HRV,lt2,S010,4.8123,1
v0102,with_abs,EMG+NIRS+HRV,lt2,S011,3.4803,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S012,3.5553,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S013,3.952,1
v0102,with_abs,EMG+NIRS+HRV,lt2,S014,8.7384,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S016,9.2766,0
v0102,with_abs,EMG+NIRS+HRV,lt2,S017,4.4451,1
v0102,with_abs,EMG+NIRS+HRV,lt2,S019,9.782,1
v0102,noabs,EMG+NIRS+HRV,lt2,S001,6.3728,0
v0102,noabs,EMG+NIRS+HRV,lt2,S002,6.4634,0
v0102,noabs,EMG+NIRS+HRV,lt2,S003,7.3228,1
v0102,noabs,EMG+NIRS+HRV,lt2,S004,6.2511,0
v0102,noabs,EMG+NIRS+HRV,lt2,S005,5.7158,0
v0102,noabs,EMG+NIRS+HRV,lt2,S006,3.987,0
v0102,noabs,EMG+NIRS+HRV,lt2,S008,7.5629,0
v0102,noabs,EMG+NIRS+HRV,lt2,S009,9.1925,1
v0102,noabs,EMG+NIRS+HRV,lt2,S010,3.9727,1
v0102,noabs,EMG+NIRS+HRV,lt2,S011,3.4204,0
v0102,noabs,EMG+NIRS+HRV,lt2,S012,4.5667,0
v0102,noabs,EMG+NIRS+HRV,lt2,S013,5.9022,1
v0102,noabs,EMG+NIRS+HRV,lt2,S014,7.5983,0
v0102,noabs,EMG+NIRS+HRV,lt2,S016,6.9721,0
v0102,noabs,EMG+NIRS+HRV,lt2,S017,3.3555,1
v0102,noabs,EMG+NIRS+HRV,lt2,S019,9.8736,1
v0103,with_abs,EMG,lt1,S002,3.2521,0
v0103,with_abs,EMG,lt1,S003,7.1773,1
v0103,with_abs,EMG,lt1,S004,4.706,0
v0103,with_abs,EMG,lt1,S006,3.1593,0
v0103,with_abs,EMG,lt1,S008,4.8504,0
v0103,with_abs,EMG,lt1,S009,8.1631,1
v0103,with_abs,EMG,lt1,S010,7.2845,1
v0103,with_abs,EMG,lt1,S011,3.7211,0
v0103,with_abs,EMG,lt1,S013,6.0137,1
v0103,with_abs,EMG,lt1,S014,4.4982,0
v0103,with_abs,EMG,lt1,S016,3.7239,0
v0103,with_abs,EMG,lt1,S017,4.6187,1
v0103,with_abs,EMG,lt1,S018,4.4785,0
v0103,with_abs,EMG,lt1,S019,7.544,1
v0103,noabs,EMG,lt1,S002,3.3375,0
v0103,noabs,EMG,lt1,S003,7.2257,1
v0103,noabs,EMG,lt1,S004,4.6753,0
v0103,noabs,EMG,lt1,S006,3.3215,0
v0103,noabs,EMG,lt1,S008,4.7712,0
v0103,noabs,EMG,lt1,S009,8.2607,1
v0103,noabs,EMG,lt1,S010,7.2347,1
