ver,tgt,fset,subj,n_windows,ytrue_start,ytrue_end,ypred_mean,ypred_std,ypred_min,ypred_max,mae,has_nan,has_inf,extreme_val
v0302,lt1,EMG_NIRS_HRV,3,142,234.35553,-470.64447,-114.47676849365234,208.8208770751953,-623.4527587890625,372.33306884765625,62.82769012451172,False,False,False
v0302,lt1,EMG_NIRS_HRV,4,234,104.008606,-1060.9913,-217.8665313720703,333.5645446777344,-898.3455200195312,257.1851806640625,260.6248474121094,False,False,False
v0302,lt1,EMG_NIRS_HRV,5,111,232.11374,-317.88626,-40.168174743652344,112.80242919921875,-270.76611328125,186.3206024169922,62.996864318847656,False,False,False
v0302,lt1,EMG_NIRS_HRV,6,197,155.19516,-824.8048,-124.14643859863281,236.41029357910156,-654.1115112304688,458.9523010253906,210.65838623046875,False,False,False
v0302,lt1,EMG_NIRS_HRV,7,120,166.98906,-428.01093,-93.01414489746094,185.1366729736328,-486.9276428222656,243.51095581054688,61.05434036254883,False,False,False
v0302,lt1,EMG_NIRS_HRV,8,326,275.24228,-1349.7577,-114.71173095703125,331.26910400390625,-656.6414184570312,517.6028442382812,422.54595947265625,False,False,False
v0302,lt1,EMG_NIRS_HRV,9,290,723.96344,-721.03656,-251.32540893554688,288.4705810546875,-836.1795043945312,250.4964141845703,254.5762176513672,False,False,False
v0302,lt1,EMG_NIRS_HRV,10,153,228.6978,-531.3022,-77.62864685058594,183.19947814941406,-337.20330810546875,349.29705810546875,77.86096954345703,False,False,False
v0302,lt1,EMG_NIRS_HRV,11,133,115.2754,-544.7246,-259.8556213378906,304.3006286621094,-647.6297607421875,301.39288330078125,121.2686538696289,False,False,False
v0302,lt1,EMG_NIRS_HRV,12,235,274.29776,-895.7022,-310.9996337890625,349.6986389160156,-808.1121215820312,314.5992126464844,56.873077392578125,False,False,False
v0302,lt1,EMG_NIRS_HRV,13,197,298.84982,-681.1502,-264.7231750488281,275.82855224609375,-665.6075439453125,358.6290588378906,98.18700408935547,False,False,False
v0302,lt1,EMG_NIRS_HRV,14,158,240.73628,-544.26373,-197.88902282714844,221.6793975830078,-551.874755859375,332.57147216796875,53.5303955078125,False,False,False
v0302,lt1,EMG_NIRS_HRV,15,191,190.97755,-759.02246,-71.04779815673828,200.62734985351562,-552.5330810546875,248.68165588378906,216.32411193847656,False,False,False
v0302,lt1,EMG_NIRS_HRV,16,187,365.51236,-564.4876,-129.1564483642578,225.72215270996094,-608.6241455078125,283.0668029785156,62.07510757446289,False,False,False
v0302,lt1,EMG_NIRS_HRV,17,289,620.67535,-819.32465,-245.98480224609375,219.57920837402344,-603.9391479492188,210.1280975341797,227.7013397216797,False,False,False
v0302,lt2,EMG,0,178,445.61713,-534.3829,272.4809875488281,220.8927764892578,-164.8994903564453,712.4025268554688,312.59417724609375,False,False,False
v0302,lt2,EMG,1,124,515.78217,-99.217865,351.0209655761719,112.5760726928711,44.46410369873047,571.22021484375,165.9166717529297,False,False,False
v0302,lt2,EMG,2,241,1076.876,-353.12402,-28.287660598754883,230.88731384277344,-300.6240539550781,529.36083984375,309.7542724609375,False,False,False
v0302,lt2,EMG,3,139,477.75867,-212.24132,261.1791687011719,244.64212036132812,-152.1940460205078,943.6637573242188,136.9730224609375,False,False,False
v0302,lt2,EMG,4,210,415.30423,-634.69574,333.4103088378906,204.6120147705078,-89.44170379638672,838.1966552734375,440.7012939453125,False,False,False
v0302,lt2,EMG,5,109,353.7734,-186.22658,390.611083984375,216.5487060546875,32.1694221496582,749.7216186523438,306.837646484375,False,False,False
v0302,lt2,EMG,6,118,517.89026,-67.10974,196.6380157470703,217.6681671142578,-234.39862060546875,619.3143920898438,84.43762969970703,False,False,False
v0302,lt2,EMG,7,324,1256.7891,-358.21088,395.38873291015625,155.44862365722656,96.14157104492188,735.0432739257812,357.3537902832031,False,False,False
v0302,lt2,EMG,8,288,1087.3141,-347.6859,348.7159423828125,295.8798828125,-204.40419006347656,832.5382690429688,178.31201171875,False,False,False
v0302,lt2,EMG,9,151,442.17828,-307.82172,311.8995666503906,155.1219940185547,38.999549865722656,621.1809692382812,244.72128295898438,False,False,False
v0302,lt2,EMG,10,131,371.65594,-278.34406,188.55618286132812,201.00025939941406,-91.5754623413086,550.8782348632812,141.91650390625,False,False,False
v0302,lt2,EMG,11,233,817.4459,-342.55408,83.19296264648438,257.6327209472656,-270.90338134765625,614.6940307617188,162.34251403808594,False,False,False
v0302,lt2,EMG,12,195,540.5898,-429.41022,200.85264587402344,204.16551208496094,-125.95622253417969,759.602294921875,149.43939208984375,False,False,False
