variant,feature_set,target,n_subjects,n_features,raw_mae_min,kalman_mae_min,best_sigma_obs,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,sec,version
noabs,EMG,lt1,18,79,3.6709,3.7727,30.0,3.7727,3.847,3.9407,4.2834,0.275,0.613,89.0,v0313
noabs,EMG+NIRS,lt1,18,93,3.2569,3.3474,30.0,3.3474,3.42,3.5141,3.8781,0.401,0.663,102.8,v0313
noabs,EMG+NIRS+HRV,lt1,18,101,3.0617,3.1851,30.0,3.1851,3.3008,3.4544,3.9958,0.427,0.683,108.1,v0313
noabs,EMG,lt1,18,79,3.726,3.8675,30.0,3.8675,3.9717,4.1066,4.5459,0.247,0.606,92.8,v0314
noabs,EMG+NIRS,lt1,18,93,3.2172,3.3471,30.0,3.3471,3.4638,3.6157,4.14,0.419,0.686,100.2,v0314
noabs,EMG+NIRS+HRV,lt1,18,101,3.175,3.316,30.0,3.316,3.4311,3.5933,4.1572,0.378,0.658,100.9,v0314
noabs,EMG,lt1,18,79,3.8984,3.9831,30.0,3.9831,4.0711,4.1861,4.5784,0.349,0.658,119.5,v0317
noabs,EMG,lt2,18,79,3.1008,3.1355,30.0,3.1355,3.1974,3.3012,3.7439,0.515,0.716,80.3,v0317
noabs,EMG+NIRS,lt1,18,93,3.4218,3.5392,30.0,3.5392,3.6418,3.7734,4.2047,0.508,0.751,153.8,v0317
noabs,EMG+NIRS,lt2,18,93,3.2917,3.3808,30.0,3.3808,3.4711,3.5814,4.0007,0.464,0.704,113.7,v0317
noabs,EMG+NIRS+HRV,lt1,18,101,3.14,3.2783,30.0,3.2783,3.4025,3.5724,4.1382,0.582,0.781,128.5,v0317
noabs,EMG+NIRS+HRV,lt2,18,101,2.8756,3.0272,30.0,3.0272,3.1419,3.3058,3.8403,0.634,0.793,131.0,v0317
noabs,EMG,lt1,18,79,4.2036,4.2929,30.0,4.2929,4.378,4.4983,4.8924,0.121,0.586,130.3,v0318
noabs,EMG,lt2,18,79,3.1055,3.2148,30.0,3.2148,3.3066,3.4517,3.9748,0.527,0.706,110.2,v0318
noabs,EMG+NIRS,lt1,18,93,4.2732,4.3643,30.0,4.3643,4.4468,4.569,4.9863,0.17,0.598,166.9,v0318
noabs,EMG+NIRS,lt2,18,93,2.9799,3.0928,30.0,3.0928,3.1793,3.3012,3.7656,0.6,0.767,130.1,v0318
noabs,EMG+NIRS+HRV,lt1,18,101,3.9444,4.0556,30.0,4.0556,4.1473,4.2635,4.7005,0.29,0.659,160.2,v0318
noabs,EMG+NIRS+HRV,lt2,18,101,2.6701,2.787,30.0,2.787,2.866,2.9859,3.4631,0.658,0.802,141.1,v0318
with_abs,EMG,lt1,18,79,3.9311,4.0469,30.0,4.0469,4.1445,4.272,4.6868,0.375,0.681,115.5,v0319
with_abs,EMG,lt2,18,79,3.5919,3.6156,30.0,3.6156,3.677,3.774,4.1259,0.451,0.712,64.2,v0319
with_abs,EMG+NIRS,lt1,18,97,3.5028,3.5727,30.0,3.5727,3.6314,3.709,4.0125,0.517,0.762,131.9,v0319
with_abs,EMG+NIRS,lt2,18,97,3.5532,3.6473,30.0,3.6473,3.7313,3.8368,4.232,0.417,0.667,101.5,v0319
with_abs,EMG+NIRS+HRV,lt1,18,107,3.6944,3.8125,30.0,3.8125,3.923,4.0709,4.5507,0.453,0.727,175.5,v0319
with_abs,EMG+NIRS+HRV,lt2,18,107,2.4994,2.6734,30.0,2.6734,2.8114,2.989,3.579,0.745,0.851,125.1,v0319
with_abs,EMG,lt1,18,79,4.3863,4.4726,30.0,4.4726,4.5522,4.6557,5.0092,0.139,0.587,119.6,v0320
with_abs,EMG,lt2,18,79,3.4783,3.5812,30.0,3.5812,3.6649,3.7852,4.2015,0.396,0.689,92.7,v0320
with_abs,EMG+NIRS,lt1,18,97,4.2042,4.262,30.0,4.262,4.3139,4.3853,4.6864,0.185,0.624,146.9,v0320
with_abs,EMG+NIRS,lt2,18,97,3.1386,3.2616,30.0,3.2616,3.3569,3.4686,3.8895,0.584,0.761,119.1,v0320
with_abs,EMG+NIRS+HRV,lt1,18,107,3.916,4.0353,30.0,4.0353,4.1406,4.2788,4.7146,0.321,0.685,173.9,v0320
with_abs,EMG+NIRS+HRV,lt2,18,107,2.6236,2.751,30.0,2.751,2.8627,3.0155,3.531,0.707,0.829,107.5,v0320
with_abs,EMG,lt1,18,79,4.1477,4.2185,30.0,4.2185,4.2779,4.3886,4.8029,0.227,0.613,110.2,v0321
with_abs,EMG,lt2,18,79,3.7243,3.7432,30.0,3.7432,3.7568,3.8051,4.1265,0.409,0.687,85.9,v0321
with_abs,EMG+NIRS,lt1,18,97,3.4708,3.5339,30.0,3.5339,3.5869,3.6621,4.0258,0.524,0.755,163.4,v0321
with_abs,EMG+NIRS,lt2,18,97,3.7276,3.8387,30.0,3.8387,3.9236,4.0334,4.4236,0.434,0.669,123.9,v0321
with_abs,EMG+NIRS+HRV,lt1,18,107,3.299,3.4157,30.0,3.4157,3.519,3.6693,4.189,0.586,0.808,157.5,v0321
