variant,feature_set,target,subject_id,mae_min,r2
noabs,EMG,lt2,S017,4.9822,-0.119
noabs,EMG,lt2,S018,1.8486,-0.24
noabs,EMG,lt2,S019,6.0277,0.199
noabs,NIRS,lt2,S001,4.8068,0.01
noabs,NIRS,lt2,S002,2.4557,0.349
noabs,NIRS,lt2,S003,5.2595,0.178
noabs,NIRS,lt2,S004,2.5545,0.385
noabs,NIRS,lt2,S005,6.1311,-0.658
noabs,NIRS,lt2,S006,2.8388,0.062
noabs,NIRS,lt2,S008,2.4655,0.265
noabs,NIRS,lt2,S009,7.7722,-0.223
noabs,NIRS,lt2,S010,6.0255,0.092
noabs,NIRS,lt2,S011,3.0643,0.362
noabs,NIRS,lt2,S012,2.5027,0.481
noabs,NIRS,lt2,S013,4.86,0.183
noabs,NIRS,lt2,S014,3.751,0.303
noabs,NIRS,lt2,S016,3.7756,0.03
noabs,NIRS,lt2,S017,4.8604,-0.073
noabs,NIRS,lt2,S018,2.6638,-1.755
noabs,NIRS,lt2,S019,6.205,0.063
noabs,EMG+NIRS,lt2,S001,5.8751,-0.648
noabs,EMG+NIRS,lt2,S002,4.6529,-0.919
noabs,EMG+NIRS,lt2,S003,6.4587,-0.157
noabs,EMG+NIRS,lt2,S004,5.375,-1.116
noabs,EMG+NIRS,lt2,S005,6.3182,-0.717
noabs,EMG+NIRS,lt2,S006,2.9879,-0.045
noabs,EMG+NIRS,lt2,S008,2.8322,0.183
noabs,EMG+NIRS,lt2,S009,5.9734,0.357
noabs,EMG+NIRS,lt2,S010,4.3534,0.59
noabs,EMG+NIRS,lt2,S011,5.3773,-0.811
noabs,EMG+NIRS,lt2,S012,2.3211,0.561
noabs,EMG+NIRS,lt2,S013,4.6826,0.245
noabs,EMG+NIRS,lt2,S014,4.8684,-0.157
noabs,EMG+NIRS,lt2,S016,3.5405,0.038
noabs,EMG+NIRS,lt2,S017,5.2724,-0.335
noabs,EMG+NIRS,lt2,S018,1.8282,-0.213
noabs,EMG+NIRS,lt2,S019,5.1569,0.444
noabs,EMG+NIRS+HRV,lt2,S001,5.6861,-0.57
noabs,EMG+NIRS+HRV,lt2,S002,3.6208,-0.207
noabs,EMG+NIRS+HRV,lt2,S003,6.3639,-0.107
noabs,EMG+NIRS+HRV,lt2,S004,4.353,-0.539
noabs,EMG+NIRS+HRV,lt2,S005,7.1345,-1.06
noabs,EMG+NIRS+HRV,lt2,S006,4.1962,-0.854
noabs,EMG+NIRS+HRV,lt2,S008,1.9627,0.647
noabs,EMG+NIRS+HRV,lt2,S009,4.1951,0.67
noabs,EMG+NIRS+HRV,lt2,S010,4.7358,0.512
noabs,EMG+NIRS+HRV,lt2,S011,5.0102,-0.479
noabs,EMG+NIRS+HRV,lt2,S012,2.0697,0.669
noabs,EMG+NIRS+HRV,lt2,S013,4.6558,0.272
noabs,EMG+NIRS+HRV,lt2,S014,4.2029,0.012
noabs,EMG+NIRS+HRV,lt2,S016,3.2795,0.127
noabs,EMG+NIRS+HRV,lt2,S017,4.4543,0.082
noabs,EMG+NIRS+HRV,lt2,S018,3.0889,-2.475
noabs,EMG+NIRS+HRV,lt2,S019,4.3384,0.61
