variant,feature_set,target,subject_id,mae_ens_min,mae_tcn_min,mae_lin_min,best_alpha,best_expert
noabs,EMG,lt1,S017,1.7951,3.6039,1.9128,0.05,linear
noabs,EMG,lt1,S018,3.2038,2.7303,3.4242,0.1,tcn
noabs,EMG,lt1,S019,3.0507,5.151,2.8494,0.1,linear
with_abs,NIRS,lt1,S002,3.2076,3.918,3.2076,0.0,linear
with_abs,NIRS,lt1,S003,13.9884,6.2861,13.9884,0.0,tcn
with_abs,NIRS,lt1,S004,2.6179,3.6774,2.5345,0.1,linear
with_abs,NIRS,lt1,S006,2.112,2.7017,2.112,0.0,linear
with_abs,NIRS,lt1,S008,5.5866,4.3629,5.5866,0.0,tcn
with_abs,NIRS,lt1,S009,4.2421,7.0761,4.2421,0.0,linear
with_abs,NIRS,lt1,S010,4.3882,6.7926,4.4664,0.05,linear
with_abs,NIRS,lt1,S011,5.4845,3.2918,5.7615,0.05,tcn
with_abs,NIRS,lt1,S013,2.1182,5.9756,2.1182,0.0,linear
with_abs,NIRS,lt1,S014,3.7466,4.0508,3.7466,0.0,linear
with_abs,NIRS,lt1,S016,4.5868,3.9234,4.5868,0.0,tcn
with_abs,NIRS,lt1,S017,2.9176,4.2656,2.9176,0.0,linear
with_abs,NIRS,lt1,S018,7.6089,4.637,7.6089,0.0,tcn
with_abs,NIRS,lt1,S019,4.6203,6.9898,4.3858,0.1,linear
noabs,NIRS,lt1,S002,4.2308,3.0509,4.3493,0.05,tcn
noabs,NIRS,lt1,S003,8.8265,6.2741,8.8265,0.0,tcn
noabs,NIRS,lt1,S004,1.4895,3.5062,1.4319,0.1,linear
noabs,NIRS,lt1,S006,1.7512,2.7909,1.7512,0.0,linear
noabs,NIRS,lt1,S008,2.5218,4.0307,2.5218,0.0,linear
noabs,NIRS,lt1,S009,4.3598,7.7039,4.3598,0.0,linear
noabs,NIRS,lt1,S010,4.3579,6.5416,4.4569,0.1,linear
noabs,NIRS,lt1,S011,3.2973,3.7703,3.3356,0.05,linear
noabs,NIRS,lt1,S013,4.2921,5.5499,4.2921,0.0,linear
noabs,NIRS,lt1,S014,4.2545,4.2814,4.3924,0.05,tcn
noabs,NIRS,lt1,S016,10.4363,3.9001,10.9604,0.05,tcn
noabs,NIRS,lt1,S017,3.1736,4.5401,3.1736,0.0,linear
noabs,NIRS,lt1,S018,7.29,4.5112,7.5882,0.05,tcn
noabs,NIRS,lt1,S019,5.1668,6.9383,4.9838,0.1,linear
with_abs,EMG+NIRS,lt1,S002,2.1912,3.0832,2.3408,0.1,linear
with_abs,EMG+NIRS,lt1,S003,4.9916,3.9715,5.1702,0.05,tcn
with_abs,EMG+NIRS,lt1,S004,3.6175,4.8979,3.6269,0.1,linear
with_abs,EMG+NIRS,lt1,S006,2.8209,1.3742,2.8209,0.0,tcn
