feature_set,target,model,n_subjects,n_features,raw_mae_min,kalman_mae_min,r2,rho,sec
EMG+NIRS+HRV,lt2,Ridge(α=1),18,101,2.99,2.7813,0.323,0.869,1.5
EMG+NIRS+HRV,lt2,Ridge(α=10),18,101,3.0057,2.7554,0.272,0.865,1.9
EMG+NIRS+HRV,lt2,Ridge(α=100),18,101,2.7187,2.5082,0.584,0.883,1.1
EMG+NIRS+HRV,lt2,Ridge(α=1000),18,101,3.0079,2.9032,0.673,0.864,1.1
EMG+NIRS+HRV,lt2,Huber(ε=1.1),18,101,2.9559,2.8227,0.418,0.869,66.7
EMG+NIRS+HRV,lt2,Huber(ε=1.35),18,101,2.9978,2.8636,0.407,0.868,59.4
EMG+NIRS+HRV,lt2,Huber(ε=1.5),18,101,3.019,2.88,0.392,0.867,63.5
EMG+NIRS+HRV,lt2,Huber(ε=2.0),18,101,2.9996,2.8374,0.367,0.868,53.5
EMG+NIRS+HRV,lt2,"EN(α=0.01,l1=0.2)",18,101,2.8923,2.6487,0.385,0.873,26.2
EMG+NIRS+HRV,lt2,"EN(α=0.01,l1=0.5)",18,101,2.95,2.6998,0.323,0.869,26.7
EMG+NIRS+HRV,lt2,"EN(α=0.01,l1=0.9)",18,101,3.0177,2.7831,0.27,0.865,36.6
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.2)",18,101,2.7367,2.5798,0.672,0.882,7.3
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.5)",18,101,2.6985,2.5243,0.647,0.884,6.7
EMG+NIRS+HRV,lt2,"EN(α=0.1,l1=0.9)",18,101,2.8178,2.5804,0.447,0.877,10.3
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.2)",18,101,3.2214,3.1378,0.648,0.847,2.7
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.5)",18,101,3.1229,3.0321,0.663,0.855,2.3
EMG+NIRS+HRV,lt2,"EN(α=1.0,l1=0.9)",18,101,2.7524,2.623,0.704,0.882,2.7
EMG+NIRS+HRV,lt2,"GBM(n=50,d=2)",18,101,2.8589,2.7751,0.714,0.856,98.4
EMG+NIRS+HRV,lt2,"GBM(n=50,d=3)",18,101,2.8808,2.7867,0.719,0.857,131.3
EMG+NIRS+HRV,lt2,"GBM(n=100,d=2)",18,101,2.8849,2.8063,0.713,0.858,170.8
EMG+NIRS+HRV,lt2,"GBM(n=100,d=3)",18,101,2.934,2.8361,0.711,0.855,236.4
EMG+NIRS+HRV,lt2,"GBM(n=200,d=2)",18,101,2.8718,2.7863,0.718,0.863,311.6
EMG+NIRS+HRV,lt2,"GBM(n=200,d=3)",18,101,2.9193,2.8206,0.713,0.856,445.8
EMG+NIRS+HRV,lt2,"SVR(C=1,ε=0.1)",18,101,4.3332,4.3003,0.279,0.665,30.1
EMG+NIRS+HRV,lt2,"SVR(C=1,ε=1.0)",18,101,4.3347,4.3019,0.278,0.664,29.4
EMG+NIRS+HRV,lt2,"SVR(C=10,ε=0.1)",18,101,3.618,3.5482,0.513,0.754,31.2
EMG+NIRS+HRV,lt2,"SVR(C=10,ε=1.0)",18,101,3.617,3.5471,0.513,0.754,32.2
EMG+NIRS+HRV,lt2,"SVR(C=100,ε=0.1)",18,101,3.0388,2.9253,0.647,0.835,35.2
EMG+NIRS+HRV,lt2,"SVR(C=100,ε=1.0)",18,101,3.0386,2.9252,0.647,0.835,25.5
