model_id,architecture_id,family,target,selected_epoch,n_folds,n_epochs_mean,final_train_mae_mean,final_train_mae_std,final_train_loss_mean,train_mae_slope_last_K_mean,train_loss_slope_last_K_mean,training_instability_mean,converged_rate,relative_change_last_K_mean,stability_window_epochs,convergence_relative_threshold
LSTM2_9d9cf2e3,LSTM2,LSTM,lt2,80,17,80.0,0.06859151620978392,0.003999765233589207,0.00914738021699354,6.544919404739072e-05,3.070216340003118e-05,0.7159212317558715,0.8235294117647058,0.02298529248016588,10,0.05
LSTM2_2f3ee677,LSTM2,LSTM,lt2,80,17,80.0,0.06715584303585657,0.003063343587296438,0.008755754813654806,-2.934948850088059e-05,-7.155044368711455e-06,0.7844341256791756,0.8823529411764706,0.028180581979111673,10,0.05
LSTM2_0664b82f,LSTM2,LSTM,lt2,80,17,80.0,0.06683143962913964,0.0024735192876534314,0.008784242788659411,-1.908489234583836e-05,-1.242776773172424e-06,0.757793054969751,0.8235294117647058,0.03209944756930784,10,0.05
LSTM2_5c2ab02a,LSTM2,LSTM,lt2,80,17,80.0,0.06434806658675495,0.0017927648460705145,0.008247768238796253,-1.4081016851038534e-05,4.304772315642573e-06,0.7212197756331309,0.8823529411764706,0.028953564466434295,10,0.05
LSTM2_6dca368f,LSTM2,LSTM,lt2,80,17,80.0,0.06422004923850462,0.001996078176644494,0.008197928572194752,-0.00011754173046195816,-2.4053954264369267e-05,0.7453795306388243,0.8235294117647058,0.03322468410439011,10,0.05
LSTM3_e11d253c,LSTM3,LSTM,lt1,80,18,80.0,0.0745321581188724,0.001068194881074177,0.01053446591150529,-9.83210620273562e-05,-2.9080631170041345e-05,0.7254443714659615,0.8888888888888888,0.021551607922835954,10,0.05
LSTM3_0d734683,LSTM3,LSTM,lt1,80,18,80.0,0.0745321581188724,0.001068194881074177,0.01053446591150529,-9.83210620273562e-05,-2.9080631170041345e-05,0.7254443714659615,0.8888888888888888,0.021551607922835954,10,0.05
LSTM3_a737cd46,LSTM3,LSTM,lt1,80,18,80.0,0.07040051598243487,0.0014492793030910398,0.009676274066593292,-9.117960920136736e-05,-2.3565645182928298e-05,0.7792309662212036,1.0,0.02344566945592,10,0.05
LSTM3_5777c9eb,LSTM3,LSTM,lt1,80,18,80.0,0.07157711915965691,0.0017037371963672997,0.009936939884072491,-5.144317396662626e-05,-1.6566089349480902e-05,0.6770896582449505,0.8888888888888888,0.019260520190202163,10,0.05
LSTM3_65d61f04,LSTM3,LSTM,lt1,80,18,80.0,0.06794165512442235,0.001358223360462386,0.009229523574040435,-9.893586145809483e-05,-1.384270158285852e-05,0.7142541698163638,0.9444444444444444,0.022807893411030827,10,0.05
