model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,modality,mean_abs_shap,mean_shap,abs_shap_share,n_windows,modality_rank_within_subject
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S006,HRV,325.96763729897486,-132.97986868713073,0.9999999999999969,139,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S007,HRV,362.8473680957624,294.8821075721971,0.9999999999999973,17,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S008,HRV,226.64872861346745,6.039300373295793,0.9999999999999957,148,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S009,HRV,550.4680257113862,357.99092972323126,0.9999999999999982,354,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S010,HRV,305.4905153607191,-15.99374997458607,0.9999999999999967,318,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S011,HRV,272.0027823558537,5.0801232160966885,0.9999999999999962,181,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S012,HRV,341.2975675587993,-183.36978173281875,0.9999999999999971,161,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S013,HRV,320.13391229050944,147.3037422014794,0.9999999999999969,263,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S014,HRV,273.72127446682646,-122.80700477207678,0.9999999999999962,225,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S016,HRV,329.20533186245075,-230.23249972991272,0.9999999999999968,186,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S017,HRV,294.93244498997535,82.32545482395588,0.9999999999999966,219,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S018,HRV,465.7512040681535,459.01580848901114,0.9999999999999978,81,1
Lin12_ecfa2a6a,Lin12,Lin,lt2,HRV,True,split,S019,HRV,400.7161010670169,191.90590350501665,0.9999999999999976,317,1
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,EMG,1469.5612525728413,-40.864610857943845,0.6686995531573379,242,1
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,HRV,153.50318805815908,20.657466125213492,0.0698490880070546,242,4
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,Interaction,161.8937217306618,-39.132427936492476,0.07366706164219985,242,3
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,Kinematics,40.663695286564696,17.770376927991872,0.018503342286853162,242,5
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,NIRS,372.0186905383946,58.55922968514456,0.16928095490655418,242,2
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,EMG,1196.6319578782666,72.929366542352,0.6461650200094787,156,1
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,HRV,94.5558065368767,11.831379633045486,0.05105885249065771,156,4
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,Interaction,144.20419367377133,-5.341495859778387,0.07786830785956861,156,3
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,Kinematics,87.33961327850953,39.153818174308405,0.04716220604854469,156,5
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,NIRS,329.1668149932494,57.03141629401977,0.17774561359174978,156,2
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S003,EMG,928.2906371458033,44.61759770715318,0.526523754961464,319,1
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S003,HRV,80.55996511882883,-1.3441623128621518,0.0456933783845415,319,4
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S003,Interaction,123.97862811482135,-40.68405117253225,0.07032031801020279,319,3
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S003,Kinematics,72.88060010343987,9.046006547944014,0.0413376648376998,319,5
Lin14_228f08a1,Lin14,Lin,lt1,EMG+NIRS+HRV,False,full_window,S003,NIRS,557.3457361434293,-327.9470018284045,0.3161248838060915,319,2
