model_id,architecture_id,family,target,feature_set,with_abs,wavelet_mode,lt_mae_median_policy_mean,catastrophic_rate_mean,conformal_coverage_at_alpha_020,conformal_width_at_alpha_020,conformal_undercoverage_penalty_020,training_instability_mean,converged_rate,point_score,uncertainty_score,stability_score,robustness_total,robustness_rank
Lin28_510231c5,Lin28,Lin,lt1,EMG,True,none,174.20546389502485,0.5526261137393373,0.8888888888888888,781.5152624735737,0.0,,,-0.7192703630159752,-0.07573749527659526,0.0,-0.7950078582925705,315
Lin28_74501246,Lin28,Lin,lt1,EMG,False,none,174.20546389502485,0.5526261137393373,0.8888888888888888,781.5152624735737,0.0,,,-0.7192703630159752,-0.07573749527659526,0.0,-0.7950078582925705,315
LSTM6_1c5d1b6c,LSTM6,LSTM,lt1,EMG,False,cwt,183.8408161765999,0.6235477573736607,0.8888888888888888,1110.9644029405383,0.0,0.715049086433278,0.9444444444444444,0.08843500325626857,1.4529974559039442,-2.3303715841043964,-0.7889391249441835,317
LSTM6_fe938b54,LSTM6,LSTM,lt1,EMG,True,cwt,183.8408161765999,0.6235477573736607,0.8888888888888888,1110.9644029405383,0.0,0.715049086433278,0.9444444444444444,0.08843500325626857,1.4529974559039442,-2.3303715841043964,-0.7889391249441835,317
Lin10_54cd113d,Lin10,Lin,lt1,HRV,True,none,182.59244422842164,0.6660762915389934,0.8888888888888888,542.56309983991,0.0,,,0.40063276448756135,-1.1845414889992254,0.0,-0.783908724511664,319
Lin3_3f06e06b,Lin3,Lin,lt2,NIRS,False,none,153.348801023231,0.6838671455869344,0.8888888888888888,666.4698220128628,0.0,,,-0.17245563731510838,-0.6095800955546319,0.0,-0.7820357328697403,320
Lin2_e16a5ada,Lin2,Lin,lt1,HRV,True,none,182.78103443165804,0.6657661784695834,0.8888888888888888,543.2438159084877,0.0,,,0.4027537835236274,-1.1813827785397295,0.0,-0.778628995016102,321
Lin29_3a87f645,Lin29,Lin,lt2,EMG+NIRS,True,none,173.38976679909982,0.5984624833826803,0.8888888888888888,712.0258688504558,0.0,,,-0.3698104193289371,-0.39818746317582737,0.0,-0.7679978825047644,322
Lin11_bb790ab8,Lin11,Lin,lt1,HRV,True,none,182.9163354065795,0.6661313766274313,0.8888888888888888,544.2111775241264,0.0,,,0.4090122537725377,-1.1768939536177365,0.0,-0.7678816998451988,323
Lin1_35e4773e,Lin1,Lin,lt1,HRV,True,none,181.99393929993366,0.6685201629876237,0.8888888888888888,548.0095378800963,0.0,,,0.40566689518638827,-1.1592685130865534,0.0,-0.7536016179001652,324
