model_id,architecture_id,target,policy,alpha,nominal_coverage,empirical_coverage,coverage_gap,coverage_ci_low,coverage_ci_high,mean_interval_width_sec,median_interval_width_sec,interval_width_over_2mae,calibration_n,qhat_method
Lin14_830d092e,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,686.1375828867298,704.4401336298538,1.1996469196845905,17,jackknife_plus
Lin14_830d092e,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1214.1450017410998,1248.1402292933913,2.1228181456861024,17,jackknife_plus
Lin14_830d092e,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,846.5561215854513,862.2455914256575,1.4801236208741158,17,jackknife_plus
Lin14_837ef015,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1156.9922418286465,1197.9268444856598,2.9296523339975984,17,jackknife_plus
Lin14_837ef015,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,416.17163002428487,421.35069923190713,1.0537997949901583,17,jackknife_plus
Lin14_837ef015,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,929.8798769815749,983.169189678588,2.3545747788513998,17,jackknife_plus
Lin14_837ef015,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,459.2669988677905,468.554106055684,1.1629227807392384,17,jackknife_plus
Lin14_837ef015,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,915.7720119357234,942.4794284827442,2.3188518601791213,17,jackknife_plus
Lin14_837ef015,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,577.357901431667,577.9185818170357,1.4619440496920357,17,jackknife_plus
Lin14_890b42c7,Lin14,lt1,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1519.1127247564148,1531.3506992319071,2.6561805528529816,17,jackknife_plus
Lin14_890b42c7,Lin14,lt1,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,1141.3724855397725,1155.483828219614,1.9956987722147725,17,jackknife_plus
Lin14_890b42c7,Lin14,lt1,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,958.7011458271876,978.2005641648853,1.6762964973204126,17,jackknife_plus
Lin14_890b42c7,Lin14,lt1,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,610.8431242649539,623.4110824348195,1.0680640093885676,17,jackknife_plus
Lin14_890b42c7,Lin14,lt1,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,1090.8875221518533,1149.7684813204596,1.9074254164741788,17,jackknife_plus
Lin14_890b42c7,Lin14,lt1,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.6111111111111112,0.9444444444444444,532.9283199496407,536.6841044010921,0.9318293609460926,17,jackknife_plus
Lin14_8b452325,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,817.1124424518882,823.1557796076809,2.537688862500027,17,jackknife_plus
Lin14_8b452325,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,554.2996863581157,589.3669463422093,1.721476834127479,17,jackknife_plus
Lin14_8b452325,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,641.3081226450245,649.5644858629971,1.9916970978726765,17,jackknife_plus
Lin14_8b452325,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,462.9214014149886,505.8312617270267,1.4376852236623365,17,jackknife_plus
Lin14_8b452325,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,707.3273175393946,714.5476714989443,2.196731517727966,17,jackknife_plus
Lin14_8b452325,Lin14,lt2,stable_median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,466.13795443685297,505.8312617270267,1.4476748044778391,17,jackknife_plus
Lin14_8e8ab90d,Lin14,lt2,crossing,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,631.4772857005092,638.7657452055471,1.9281388026835031,17,jackknife_plus
Lin14_8e8ab90d,Lin14,lt2,crossing,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,504.27771083159496,522.9797884653544,1.5397504290343553,17,jackknife_plus
Lin14_8e8ab90d,Lin14,lt2,median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,620.5210690346511,627.456914614264,1.8946853326024464,17,jackknife_plus
Lin14_8e8ab90d,Lin14,lt2,median,0.3,0.7,0.7777777777777778,0.07777777777777783,0.5555555555555556,0.9444444444444444,429.9694636941142,459.66839668897774,1.312859267769176,17,jackknife_plus
Lin14_8e8ab90d,Lin14,lt2,stable_median,0.2,0.8,0.8888888888888888,0.0888888888888888,0.7222222222222222,1.0,648.154225436597,650.7413892893885,1.9790598022876211,17,jackknife_plus
