model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_load_duration_ms,Kinematics,14.612719327910936,-13.972161336705067,-12.880962899861775,-154.83154540425284,-126.84176254197375,319,0.006477138487146895,35
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_rest_duration_ms,Kinematics,0.8718178975821583,-0.8236812303045595,7.0080562857385065,-154.83154540425284,-126.84176254197375,319,0.0003864363046669273,60
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_load_rest_ratio,Kinematics,0.5845010946797919,-0.5745929384212223,-27.444573315200547,-154.83154540425284,-126.84176254197375,319,0.00025908213599222063,61
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_load_duration_cv,Kinematics,2.8372766523474753,-1.7065572981883348,1.4780609905081314,-154.83154540425284,-126.84176254197375,319,0.0012576327096423064,51
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_rest_duration_cv,Kinematics,1.241782927889405,-0.5298812131202635,1.9604727397097006,-154.83154540425284,-126.84176254197375,319,0.0005504245865827011,57
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_load_trend_cv_ratio_30s,Kinematics,0.9759728558124421,0.3015106494709999,0.019567007008753398,-154.83154540425284,-126.84176254197375,319,0.00043260335088480563,59
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_rest_trend_cv_ratio_30s,Kinematics,0.05083177087631854,0.0051499960035840935,0.2646377427612222,-154.83154540425284,-126.84176254197375,319,2.253135861468058e-05,65
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_load_sampen_30s,Kinematics,0.25806939181787875,-0.20348211287603785,,-154.83154540425284,-126.84176254197375,319,0.00011439015234525434,64
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,z_rest_sampen_30s,Kinematics,3.1432192732327313,-1.4218580926636855,,-154.83154540425284,-126.84176254197375,319,0.0013932428366916557,49
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_smo2_drop,NIRS,104.37823623131939,-86.94446938085385,13.229811422355466,-154.83154540425284,-126.84176254197375,319,0.04626601496567867,8
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_smo2_slope,NIRS,0.2594028675881444,0.13974429540346467,-0.012279277255993341,-154.83154540425284,-126.84176254197375,319,0.00011498122010201116,63
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_smo2_std,NIRS,2.4329001181313763,-2.240986182167426,0.885612474211639,-154.83154540425284,-126.84176254197375,319,0.0010783914093548661,53
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_dsmo2_dt,NIRS,0.25940948697456584,0.13974786136825157,-0.012279277255993341,-154.83154540425284,-126.84176254197375,319,0.00011498415416798407,62
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_hhb_slope,NIRS,1.3219561190946139,0.3164395220533944,0.007094304869513013,-154.83154540425284,-126.84176254197375,319,0.0005859616314502346,55
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_hhb_std,NIRS,126.28706266106668,126.28706266106668,1.0661165584349355,-154.83154540425284,-126.84176254197375,319,0.05597717821270619,2
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_dhhb_dt,NIRS,1.3218170951869348,0.31640624359712466,0.007094304869513013,-154.83154540425284,-126.84176254197375,319,0.0005859000086213241,56
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_hbdiff_slope,NIRS,2.666757608752311,-0.8089550983777942,-0.008148853096748012,-154.83154540425284,-126.84176254197375,319,0.001182049552580491,52
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,trainred_hbdiff_std,NIRS,27.68796174424889,26.269696373492486,0.7625922664807931,-154.83154540425284,-126.84176254197375,319,0.012272785004621313,28
