model_id,architecture_id,family,target,feature_set,with_abs,phase_split,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,mean_windows_per_subject,n_subjects,abs_shap_share,feature_rank_global
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_ratio_mid_high,EMG,10.631843385848034,-1.8122233438230277,0.7392659256825153,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.004187611477244193,40
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_rms,EMG,181.45492208564917,30.05802252903013,13.639770498295258,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.07147045782669849,2
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_wavelet_entropy,EMG,30.819308257441232,-4.2018884790897,-0.18482052149929354,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.012138938121622207,28
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_wl,EMG,59.4268919480438,-11.816861175214205,13.464594688928434,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.023406734443608343,18
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_dist_full_window_zcr,EMG,7.896622935657305,-2.803054983974556,-3.4559004551645196,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0031102780239261997,46
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_e_d2,EMG,102.15175688602909,-7.353702152591948,18.126917196742895,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.04023496716721747,6
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_e_d3,EMG,8.6963589748985,-1.4737388596465146,19.924330616312755,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0034252736173667545,45
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_e_d4,EMG,16.594353118901743,-1.4032986947430752,21.854792205388723,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.006536091725227485,38
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_e_d5,EMG,92.77647941140833,4.634113455274412,17.13569921030211,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.036542284898465324,10
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_mav,EMG,41.315102444348874,-4.421311254867498,12.851220402281669,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.01627296329531804,20
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_mdf,EMG,34.667676327677825,-3.1945419506714305,0.3174788488809707,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.01365471198272272,23
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_mnf,EMG,61.21129720128246,12.371350138714948,0.0983573597725801,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.0241095660831774,16
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_p_high,EMG,67.21942557360914,5.145105838141969,-0.14035970928813182,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.026476014347661957,13
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_p_low,EMG,27.05409866606212,-0.05647369567574639,-0.6835251302979467,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.010655918260731787,32
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_p_mid,EMG,50.968966685424036,17.69232923118734,0.8845148518837637,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.020075373773777046,19
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_ratio_low_high,EMG,27.475805514717706,0.8580763447834023,0.6017770304775543,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.010822017814249782,31
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_ratio_mid_high,EMG,40.22440558216445,-8.325009953535442,1.6557765808630587,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.015843365667463836,21
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_rms,EMG,95.17153986948111,-12.018760915767903,13.234787350788784,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.03748563802161889,9
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_wavelet_entropy,EMG,34.62840391463848,-3.7745785295809404,-0.8893782259222063,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.013639243582595464,24
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_wl,EMG,237.14553366550288,22.82516585441844,13.738414099694783,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.09340556689131926,1
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,z_vl_prox_full_window_zcr,EMG,32.38307829912478,-1.3853316859641152,-3.4976862280324412,-119.75420468313612,-146.83604774946295,229.44444444444446,18,0.012754867188357827,26
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,feat_rr_per_watt,Interaction,103.65225782946727,-0.12423505105311634,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.04959627783347261,4
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,feat_smo2_x_dfa,Interaction,51.49827202889412,3.0042632845320756,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.024641263595925965,14
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,hhb_from_running_min,NIRS,87.09834527627157,12.807065682410796,4.190271864821134,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.041675442692861726,5
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_dfa_alpha1,HRV,71.10966373435603,1.7771819110848126,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.034025063351888776,9
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_rmssd_ms,HRV,10.670642752751299,2.901712119916053,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.005105765891736624,44
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sd1_ms,HRV,10.670702250158568,2.9016641638084377,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.005105794360483982,43
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sd1_sd2_ratio,HRV,1.9409042463860484,-0.3546963474847236,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.0009286978235467152,58
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,hrv_sd2_ms,HRV,13.576663049410445,-1.3746939932120008,,-124.66821421949291,-134.32412303855634,229.44444444444446,18,0.006496259384506865,40
