task,config,model,mae_min,mae_std,r2,rho,delta_vs_base,best
LT1,SampEn   120s,SVR rbf,2.9775575891671013,1.5207570476254615,0.5767779399440851,0.8180682671467143,1.0268102947957243,False
LT2,v0004-репликация,ElasticNet,2.205893803405983,1.0236251020366016,0.8278548332812096,0.9094377954678455,-0.03680790059815653,True
LT2,Trend CV  30s,ElasticNet,2.206972854337883,1.0233355473577572,0.8277534671682991,0.9093556451120337,-0.03572884966625667,False
LT2,Trend CV  60s,ElasticNet,2.2077741984171055,1.0270219185825002,0.8276424604387151,0.9092665577056425,-0.03492750558703417,False
LT2,SampEn    30s,ElasticNet,2.209953561802263,0.9846702465653365,0.8293189379204562,0.9104285608653302,-0.03274814220187672,False
LT2,Trend CV 120s,ElasticNet,2.2124396471214363,1.02991359973824,0.8268264939507788,0.908678314001763,-0.030262056882703448,False
LT2,SampEn    30s,Ridge α=100,2.2289095633065545,1.0322990710701772,0.8251897988463436,0.9086873473741583,-0.013792140697585165,False
LT2,v0004-репликация,Ridge α=100,2.2427017040041397,1.064095321667004,0.8219493530677432,0.9065770896900152,0.0,False
LT2,Trend CV  30s,Ridge α=100,2.2428270839416555,1.062670508460582,0.8220064097237914,0.9065836147503363,0.00012537993751582377,False
LT2,Trend CV  60s,Ridge α=100,2.2442680942076882,1.0681356106201008,0.8218381015037719,0.9065259395631251,0.00156639020354854,False
LT2,SampEn    60s,ElasticNet,2.251382501594013,1.0129436497206221,0.8229296956351739,0.9069945527715668,0.00868079758987328,False
LT2,Trend CV 120s,Ridge α=100,2.252606490832468,1.0699506846501305,0.8204999964212101,0.90565130713343,0.009904786828328405,False
LT2,SampEn   120s,ElasticNet,2.277334584132331,1.0400660587881505,0.8186001326990339,0.9043970087497474,0.034632880128191434,False
LT2,SampEn    60s,Ridge α=100,2.278241939163794,1.0617506968351653,0.8175561271877598,0.9045193783219698,0.0355402351596541,False
