sigma_p,sigma_obs,kalman_mae,r2,rho,feature_set,target
15,100,4.223,0.436,0.682,NIRS,lt1
15,150,4.1942,0.444,0.687,NIRS,lt1
15,200,4.1632,0.453,0.693,NIRS,lt1
15,300,4.0987,0.47,0.707,NIRS,lt1
15,500,3.9721,0.501,0.737,NIRS,lt1
25,30,4.2815,0.413,0.667,NIRS,lt1
25,60,4.2644,0.42,0.672,NIRS,lt1
25,100,4.247,0.427,0.676,NIRS,lt1
25,150,4.2287,0.434,0.68,NIRS,lt1
25,200,4.2117,0.439,0.684,NIRS,lt1
25,300,4.1758,0.45,0.69,NIRS,lt1
25,500,4.0987,0.47,0.707,NIRS,lt1
40,30,4.2891,0.409,0.664,NIRS,lt1
40,60,4.2766,0.415,0.668,NIRS,lt1
40,100,4.2632,0.421,0.672,NIRS,lt1
40,150,4.2495,0.426,0.675,NIRS,lt1
40,200,4.2376,0.431,0.678,NIRS,lt1
40,300,4.216,0.438,0.683,NIRS,lt1
40,500,4.1711,0.451,0.691,NIRS,lt1
60,30,4.2938,0.407,0.662,NIRS,lt1
60,60,4.2848,0.411,0.666,NIRS,lt1
60,100,4.2742,0.416,0.669,NIRS,lt1
60,150,4.2632,0.421,0.672,NIRS,lt1
60,200,4.2536,0.425,0.674,NIRS,lt1
60,300,4.2376,0.431,0.678,NIRS,lt1
60,500,4.2088,0.44,0.684,NIRS,lt1
90,30,4.2971,0.405,0.661,NIRS,lt1
90,60,4.2906,0.408,0.664,NIRS,lt1
90,100,4.283,0.412,0.666,NIRS,lt1
90,150,4.2742,0.416,0.669,NIRS,lt1
90,200,4.2667,0.419,0.671,NIRS,lt1
90,300,4.2536,0.425,0.674,NIRS,lt1
90,500,4.2326,0.432,0.679,NIRS,lt1
5,30,2.542,0.782,0.901,EMG+NIRS,lt1
5,60,2.4981,0.792,0.906,EMG+NIRS,lt1
5,100,2.4783,0.798,0.91,EMG+NIRS,lt1
5,150,2.4601,0.802,0.912,EMG+NIRS,lt1
5,200,2.4475,0.805,0.914,EMG+NIRS,lt1
5,300,2.4403,0.808,0.916,EMG+NIRS,lt1
5,500,2.4507,0.807,0.915,EMG+NIRS,lt1
10,30,2.5957,0.772,0.895,EMG+NIRS,lt1
10,60,2.542,0.782,0.901,EMG+NIRS,lt1
10,100,2.5076,0.79,0.905,EMG+NIRS,lt1
10,150,2.4887,0.794,0.908,EMG+NIRS,lt1
10,200,2.4783,0.798,0.91,EMG+NIRS,lt1
10,300,2.4601,0.802,0.912,EMG+NIRS,lt1
10,500,2.4423,0.806,0.915,EMG+NIRS,lt1
15,30,2.621,0.767,0.892,EMG+NIRS,lt1
15,60,2.5741,0.776,0.897,EMG+NIRS,lt1
15,100,2.5339,0.784,0.902,EMG+NIRS,lt1
15,150,2.5076,0.79,0.905,EMG+NIRS,lt1
