version,family,variant,has_cwt,arch_type,step_label,arch_label,feature_set,target,mae_raw,mae_kalman,best_sigma,kalman_5,kalman_10,kalman_15,kalman_20,kalman_30,kalman_50,kalman_75,kalman_150,r2,rho,bias,calib,ps_mae_mean,ps_mae_std,delta_v0011,best_nn_mae,delta_best_nn
v0306,LSTM,noabs,True,Stateless,5с,Stateless 5с +CWT,EMG+NIRS+HRV,lt1,3.8106,3.8205,5.0,3.8205,3.8428,3.8683,3.896,3.9524,4.0588,4.1917,4.5846,0.339,0.707,1.17,0.898,3.2077,2.8837,0.7677,3.0751,0.7454
v0307,LSTM,noabs,False,Stateful,30с,Stateful 30с,EMG,lt1,4.0482,4.2259,5.0,4.2259,4.4409,4.611,4.7508,4.9454,5.1415,5.2617,5.4422,0.382,0.699,0.5909,0.811,3.6241,2.2295,0.6816,3.0751,1.1508
v0307,LSTM,noabs,False,Stateful,30с,Stateful 30с,EMG+NIRS,lt1,3.919,4.0996,5.0,4.0996,4.2994,4.4337,4.5424,4.7187,4.9758,5.1446,5.3212,0.477,0.727,0.1969,0.839,3.5552,1.9056,0.7002,3.0751,1.0245
v0307,LSTM,noabs,False,Stateful,30с,Stateful 30с,EMG+NIRS+HRV,lt1,3.6961,3.8722,5.0,3.8722,4.0893,4.2789,4.437,4.6878,5.0263,5.2607,5.5026,0.551,0.775,0.57,0.845,3.3132,1.8192,0.8194,3.0751,0.7971
v0308,LSTM,noabs,True,Stateful,30с,Stateful 30с +CWT,EMG,lt1,4.4366,4.5828,5.0,4.5828,4.7529,4.8675,4.9426,5.0414,5.2369,5.4113,5.5958,0.259,0.646,1.0746,0.835,3.9482,2.7331,1.0385,3.0751,1.5077
v0308,LSTM,noabs,True,Stateful,30с,Stateful 30с +CWT,EMG+NIRS,lt1,4.0955,4.2425,5.0,4.2425,4.4301,4.594,4.739,4.9963,5.3482,5.5716,5.8117,0.437,0.732,0.5107,0.924,3.6228,2.2857,0.8431,3.0751,1.1674
v0308,LSTM,noabs,True,Stateful,30с,Stateful 30с +CWT,EMG+NIRS+HRV,lt1,3.8542,4.0181,5.0,4.0181,4.2272,4.4023,4.5429,4.7873,5.1618,5.3922,5.6087,0.441,0.713,0.2869,0.872,3.2806,2.522,0.9653,3.0751,0.943
v0309,LSTM,noabs,False,Stateful,15с,Stateful 15с,EMG,lt1,4.4662,4.5583,5.0,4.5583,4.6789,4.7848,4.8752,5.0094,5.1634,5.3046,5.5775,0.25,0.649,0.9557,0.842,4.083,2.2879,1.014,3.0751,1.4832
v0309,LSTM,noabs,False,Stateful,15с,Stateful 15с,EMG+NIRS,lt1,3.9778,4.0674,5.0,4.0674,4.1888,4.2999,4.3987,4.5547,4.7964,5.0362,5.3865,0.447,0.734,0.3448,0.901,3.6734,1.8207,0.668,3.0751,0.9923
v0309,LSTM,noabs,False,Stateful,15с,Stateful 15с,EMG+NIRS+HRV,lt1,4.0426,4.1259,5.0,4.1259,4.232,4.3239,4.402,4.5424,4.7786,4.9894,5.325,0.421,0.722,0.3834,0.88,3.5907,2.2341,1.0731,3.0751,1.0508
